117.120.2.17_19.19.19.33.out.average, 
58.28.25.150_19.19.19.24.out.average,-0.055719,very-weak
62.44.96.38_19.19.19.3.out.average,0.108138,very-weak
78.154.171.62_19.19.19.43.out.average,0.157942,very-weak
78.96.7.8_19.19.19.30.out.average,0.160563,very-weak
95.173.191.11_19.19.19.42.out.average,0.051476,very-weak
130.75.2.22_19.19.19.13.out.average, 
117.120.2.17_19.19.19.33.out.average,0.270100,weak
122.152.116.24_19.19.19.20.out.average,0.408372,moderate
130.133.3.130_19.19.19.12.out.average,0.368946,weak
130.161.131.20_19.19.19.21.out.average,-0.197253,weak
130.206.1.5_19.19.19.35.out.average,-0.302819,weak
130.225.254.116_19.19.19.8.out.average,0.163473,very-weak
130.236.254.50_19.19.19.37.out.average,0.255440,weak
130.75.2.22_19.19.19.13.out.average,0.999964,very-strong
137.189.4.14_19.19.19.15.out.average,-0.028420,very-weak
140.117.11.7_19.19.19.39.out.average,0.026125,very-weak
140.128.9.18_19.19.19.38.out.average,-0.106466,very-weak
141.217.0.199_19.19.19.47.out.average,-0.200630,weak
147.102.222.211_19.19.19.14.out.average,-0.198321,weak
149.20.37.36_19.19.19.22.out.average,-0.129940,very-weak
153.19.251.225_19.19.19.28.out.average,0.083448,very-weak
155.210.4.101_19.19.19.34.out.average,-0.006097,very-weak
162.213.3.248_19.19.19.49.out.average,-0.127972,very-weak
163.1.160.163_19.19.19.46.out.average,0.192273,weak
163.178.174.25_19.19.19.6.out.average,0.086746,very-weak
185.87.121.190_19.19.19.41.out.average,0.243895,weak
192.38.78.162_19.19.19.7.out.average,0.433366,moderate
193.136.164.6_19.19.19.29.out.average,0.184114,very-weak
193.166.3.3_19.19.19.9.out.average,0.209383,weak
193.6.176.62_19.19.19.16.out.average,-0.083667,very-weak
194.105.226.20_19.19.19.17.out.average,0.228426,weak
194.116.84.15_19.19.19.18.out.average,0.439371,moderate
194.2.0.36_19.19.19.10.out.average,0.220457,weak
195.14.50.21_19.19.19.32.out.average,0.142056,very-weak
202.28.209.254_19.19.19.40.out.average,0.212752,weak
202.38.97.230_19.19.19.4.out.average,0.280145,weak
202.8.44.105_19.19.19.23.out.average,-0.123293,very-weak
202.90.159.172_19.19.19.25.out.average,0.206319,weak
203.0.178.32_19.19.19.1.out.average,0.018649,very-weak
203.178.132.80_19.19.19.19.out.average,0.054739,very-weak
212.110.161.69_19.19.19.45.out.average,0.170183,very-weak
212.191.2.18_19.19.19.26.out.average,0.225444,weak
212.191.2.18_19.19.19.27.out.average,-0.096615,very-weak
212.47.239.32_19.19.19.11.out.average,0.249458,weak
213.166.187.92_19.19.19.36.out.average,0.315566,weak
213.229.119.169_19.19.19.44.out.average,-0.106106,very-weak
219.216.128.25_19.19.19.5.out.average,-0.035909,very-weak
23.79.234.240_19.19.19.48.out.average,-0.149589,very-weak
31.193.177.85_19.19.19.2.out.average,0.205787,weak
5.101.158.166_19.19.19.31.out.average,-0.040850,very-weak
58.28.25.150_19.19.19.24.out.average,0.169634,very-weak
62.44.96.38_19.19.19.3.out.average,-0.171643,very-weak
78.154.171.62_19.19.19.43.out.average,0.270926,weak
78.96.7.8_19.19.19.30.out.average,0.039039,very-weak
95.173.191.11_19.19.19.42.out.average,-0.049611,very-weak
137.189.4.14_19.19.19.15.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.062441,very-weak
122.152.116.24_19.19.19.20.out.average,-0.039895,very-weak
130.133.3.130_19.19.19.12.out.average,0.029235,very-weak
130.161.131.20_19.19.19.21.out.average,-0.098539,very-weak
130.206.1.5_19.19.19.35.out.average,0.022338,very-weak
130.225.254.116_19.19.19.8.out.average,-0.079600,very-weak
130.236.254.50_19.19.19.37.out.average,-0.044111,very-weak
130.75.2.22_19.19.19.13.out.average,-0.028867,very-weak
137.189.4.14_19.19.19.15.out.average,0.999976,very-strong
140.117.11.7_19.19.19.39.out.average,-0.123840,very-weak
140.128.9.18_19.19.19.38.out.average,0.014090,very-weak
141.217.0.199_19.19.19.47.out.average,-0.050577,very-weak
147.102.222.211_19.19.19.14.out.average,-0.036463,very-weak
149.20.37.36_19.19.19.22.out.average,-0.052610,very-weak
153.19.251.225_19.19.19.28.out.average,-0.106591,very-weak
155.210.4.101_19.19.19.34.out.average,-0.177647,very-weak
162.213.3.248_19.19.19.49.out.average,-0.034072,very-weak
163.1.160.163_19.19.19.46.out.average,0.293136,weak
163.178.174.25_19.19.19.6.out.average,0.049274,very-weak
185.87.121.190_19.19.19.41.out.average,-0.047278,very-weak
192.38.78.162_19.19.19.7.out.average,0.036440,very-weak
