117.120.2.17_19.19.19.33.out.average, 
130.161.131.20_19.19.19.21.out.average,0.165445,very-weak
130.206.1.5_19.19.19.35.out.average,0.136091,very-weak
130.225.254.116_19.19.19.8.out.average,0.201657,weak
130.236.254.50_19.19.19.37.out.average,0.142727,very-weak
130.75.2.22_19.19.19.13.out.average,0.158311,very-weak
137.189.4.14_19.19.19.15.out.average,0.999915,very-strong
140.117.11.7_19.19.19.39.out.average,0.153265,very-weak
140.128.9.18_19.19.19.38.out.average,0.124540,very-weak
141.217.0.199_19.19.19.47.out.average,0.166569,very-weak
147.102.222.211_19.19.19.14.out.average,0.174778,very-weak
149.20.37.36_19.19.19.22.out.average,0.274170,weak
153.19.251.225_19.19.19.28.out.average,0.076058,very-weak
155.210.4.101_19.19.19.34.out.average,0.292176,weak
162.213.3.248_19.19.19.49.out.average,0.034291,very-weak
163.1.221.67_19.19.19.46.out.average,0.154644,very-weak
163.178.174.25_19.19.19.6.out.average,0.226899,weak
185.87.121.190_19.19.19.41.out.average,0.145232,very-weak
192.38.78.162_19.19.19.7.out.average,0.159352,very-weak
193.136.164.6_19.19.19.29.out.average,0.220137,weak
193.166.3.3_19.19.19.9.out.average,0.282149,weak
193.6.176.62_19.19.19.16.out.average,0.102249,very-weak
194.105.226.20_19.19.19.17.out.average,0.192107,weak
194.116.84.15_19.19.19.18.out.average,0.223826,weak
194.2.0.36_19.19.19.10.out.average,0.306007,weak
195.14.50.21_19.19.19.32.out.average,0.161097,very-weak
202.28.209.254_19.19.19.40.out.average,0.111479,very-weak
202.38.97.230_19.19.19.4.out.average,0.199154,weak
202.8.44.105_19.19.19.23.out.average,0.167286,very-weak
202.90.159.172_19.19.19.25.out.average,0.099724,very-weak
203.0.178.32_19.19.19.1.out.average,0.184963,very-weak
203.178.132.80_19.19.19.19.out.average,0.280833,weak
212.110.161.69_19.19.19.45.out.average,0.178233,very-weak
212.191.2.18_19.19.19.26.out.average,0.169641,very-weak
212.191.2.18_19.19.19.27.out.average,0.204680,weak
212.47.239.32_19.19.19.11.out.average,0.175414,very-weak
213.166.187.92_19.19.19.36.out.average,0.057889,very-weak
213.229.119.169_19.19.19.44.out.average,0.089129,very-weak
219.216.128.25_19.19.19.5.out.average,0.208749,weak
23.79.234.240_19.19.19.48.out.average,0.068539,very-weak
31.193.177.85_19.19.19.2.out.average,0.230997,weak
5.101.158.166_19.19.19.31.out.average,0.181096,very-weak
58.28.25.150_19.19.19.24.out.average,0.151630,very-weak
62.44.96.38_19.19.19.3.out.average,0.130359,very-weak
78.154.171.62_19.19.19.43.out.average,0.200878,weak
78.96.7.8_19.19.19.30.out.average,0.155162,very-weak
95.173.191.11_19.19.19.42.out.average,0.221921,weak
140.117.11.7_19.19.19.39.out.average, 
117.120.2.17_19.19.19.33.out.average,0.306093,weak
122.152.116.24_19.19.19.20.out.average,0.210608,weak
130.133.3.130_19.19.19.12.out.average,0.204284,weak
